,Hydro_Run-of-river_and_poundage_Res,Hydro_Water_Reservoir_Res,Other_Res
2023-01-18,29.87703,20.461207,15.1430000002
2023-01-21,24.728389800000002,12.070912000000007,14.93679001
2023-01-22,22.86973,12.20156,15.074179993
2023-02-15,21.1628201,16.209581,10.836830305
2023-02-18,20.2139799,4.082930000000001,9.1320601
2023-02-19,18.78999,4.021972,9.938669999999998
2023-03-15,34.36623,19.288762999999996,5.37620003
2023-03-18,29.121590399999995,9.377960000000002,7.209291009999998
2023-03-19,24.66875,12.741771,12.890469689999998
2023-04-19,32.7032598,13.747282000000006,9.913200029999999
2023-04-22,31.784589699999998,8.875799999999998,13.89556
2023-04-23,34.14852,7.549991199999999,9.222201
2023-05-17,51.298541,16.218337999999996,12.430702029999999
2023-05-20,48.43198,6.051800999999999,19.1525604
2023-05-21,56.0109305,8.281433,7.268041
2023-06-21,67.3699,13.495851000000002,15.877121039999999
2023-06-24,70.93764,12.377619999999993,6.8548500000000026
2023-06-25,66.23616,12.041961999999998,8.35303202
2023-07-19,56.926131000000005,22.647990000000007,4.809222030000001
2023-07-22,53.8064005,9.303103,5.731279999999998
2023-07-23,49.924459999999996,0.48613300000000237,7.0313279999999985
2023-08-16,56.6579504,12.441450000000003,6.43337
2023-08-19,51.8141,5.799930000000003,9.209740004
2023-08-20,51.2586804,8.067669999999993,10.605911
2023-09-20,46.61459,11.157690000000002,10.07708001
2023-09-23,48.912399699999995,8.102921999999992,14.75796103
2023-09-24,47.2340304,8.986437500000008,9.792401
2023-10-18,27.2992803,13.149463999999995,15.16836056
2023-10-21,37.85742,4.780482000000006,11.592341049999998
2023-10-22,38.7187404,7.673641999999994,11.708030990000001
2023-11-15,44.9017303,21.48567299999999,12.20107066
2023-11-18,43.95368,12.827411999999995,14.395970199999999
2023-11-19,46.03463,10.6687205,14.65246
2023-12-20,38.178960000000004,14.889199999999995,10.1105497
2023-12-23,37.77392,10.174499999999998,10.20664
2023-12-24,35.35834,5.9548699,11.350259999999999
2024-01-17,35.457440000000005,28.284633000000014,13.260229930000001
2024-01-20,35.662009999999995,18.948210000000003,6.84935977
2024-01-21,34.073040000000006,8.945791,8.16247004
2024-02-21,34.2493,20.745433,9.725249999999999
2024-02-24,36.02769,13.931038999999998,7.5992809999999995
2024-02-25,36.6927202,17.873900000000003,5.655232049999999
2024-03-20,39.3804398,21.080358000000004,6.270758999999998
